threadId,duration
198,295
198,246
195,758
192,758
206,757
191,759
210,758
200,761
2019,770
199,760
202,761
196,762
201,760
214,759
203,760
186,762
182,763
187,764
180,764
184,765
188,766
207,763
179,766
181,766
204,765
197,766
205,766
189,767
170,768
176,769
173,768
168,770
166,770
193,769
165,770
212,768
178,769
209,768
185,770
223,766
222,767
216,769
194,772
177,772
190,772
236,766
163,774
225,769
183,774
172,775
255,767
232,770
245,769
158,777
221,772
241,770
228,773
156,780
263,770
99,782
104,782
299,767
160,781
113,783
385,762
235,776
135,782
352,764
140,781
441,761
486,759
290,769
351,764
497,758
473,759
476,760
403,764
435,762
41,789
503,760
316,770
71,789
283,775
82,789
67,790
23,791
69,790
91,789
515,761
77,791
68,791
480,764
318,773
65,791
61,792
141,791
369,772
507,765
325,775
20,794
78,794
28,795
74,795
341,775
505,767
499,767
49,795
355,776
270,784
310,778
469,770
407,773
136,795
508,769
333,779
423,774
426,773
485,769
463,770
495,771
422,775
517,769
482,771
518,769
436,773
38,798
474,770
468,773
470,772
398,777
401,778
510,772
47,801
24,802
198,245
400,783
432,782
488,780
64,807
640,776
76,807
30,809
560,777
632,778
643,777
900,766
489,781
677,778
756,775
648,778
584,783
652,781
642,781
574,783
667,782
912,773
783,782
606,785
682,784
698,784
566,789
759,785
617,789
555,790
672,788
561,791
681,789
567,791
694,788
1337,752
680,790
563,792
646,818
529,821
778,817
609,820
626,821
615,820
772,819
633,822
645,821
604,834
822,830
608,836
650,835
554,835
1328,799
744,834
569,837
789,834
622,835
668,834
763,832
603,835
592,835
636,833
639,833
743,831
721,833
715,833
1359,789
776,831
653,833
568,835
1059,818
933,825
1394,787
548,839
599,838
546,835
600,838
1895,751
686,835
687,835
1343,795
699,835
1006,819
1410,784
607,837
627,836
1345,794
542,837
1347,793
1618,771
551,836
596,836
769,832
727,834
1064,815
685,835
1884,762
1668,776
1532,785
1674,778
1408,792
1607,783
1619,783
1734,776
1736,776
1402,796
1749,774
1503,789
1515,788
1593,783
1745,773
1492,788
1678,777
1433,793
1236,814
1622,780
1551,784
1421,792
1499,790
1695,780
1896,760
1744,778
1395,799
1458,795
1591,787
1130,824
1486,794
1670,781
1602,786
1474,796
880,843
1592,789
1897,766
1817,777
1862,774
1621,787
1527,795
1535,793
1903,767
1425,798
1420,803
1900,767
1404,804
1868,774
1411,805
1597,790
1790,779
1612,790
1633,790
1721,784
1866,771
1713,782
1764,780
1876,774
1488,798
1751,781
1616,788
1685,784
1559,798
1563,791
1543,792
1875,779
1462,804
1289,824
