threadId,duration
1498,780
1498,262
1930,1113
1184,1128
372,1128
1677,1129
40,1129
962,1114
48,1114
552,1137
1890,1116
1722,1130
386,1130
356,1131
1686,1129
1190,1128
1737,1130
1768,1130
396,1130
618,1135
383,1143
394,1146
620,1146
1288,1132
391,1147
1683,1145
934,1146
1777,1152
1804,1152
1148,1160
972,1139
933,1153
1641,1159
1589,1152
914,1153
935,1154
898,1163
621,1155
1709,1155
334,1156
368,1155
1740,1156
377,1157
1732,1156
884,1157
1068,1156
1207,1157
1733,1156
1728,1157
1624,1157
53,1159
1198,1158
931,1158
363,1161
1755,1161
939,1162
1199,1161
406,1162
429,1161
376,1162
476,1162
420,1165
811,1165
1735,1165
940,1169
1762,1171
317,1205
692,1217
1193,1267
546,1261
68,1344
1498,271
51,1389
356,264
1890,264
1184,267
1686,263
1677,266
48,266
1190,263
962,266
552,266
40,266
372,267
868,1410
1722,265
386,265
1930,268
1737,264
394,258
1288,257
1683,257
618,268
620,257
391,259
383,262
1804,263
1777,263
1148,262
972,262
934,269
898,272
377,271
933,274
53,269
1198,269
476,265
1641,275
939,268
1199,267
811,264
334,274
1755,268
1068,272
1709,272
368,271
429,268
376,268
420,264
406,268
914,275
1735,263
363,268
931,268
1207,270
1732,272
884,271
621,273
1589,274
935,273
1740,271
940,268
1762,265
317,261
692,260
1193,277
546,264
68,279
1498,275
51,272
372,268
396,533
1737,268
1677,271
1768,534
40,269
48,270
386,269
962,270
1722,270
868,269
1890,273
1184,271
1190,269
356,272
552,270
1930,268
1686,270
394,276
618,275
1683,275
391,273
1288,275
383,273
620,275
1777,269
1804,269
934,269
1148,269
972,269
377,269
1728,538
1733,539
53,268
1624,540
933,269
1198,268
334,267
811,266
898,271
939,269
1199,268
1755,267
1641,268
476,269
1709,272
429,272
420,271
368,272
376,271
1068,273
1762,272
940,272
317,276
692,276
1193,261
546,253
68,258
1498,259
51,263
1677,258
396,259
1737,258
372,259
356,260
1768,262
48,261
1890,262
962,264
40,265
386,264
868,264
1722,264
1190,263
1184,263
1288,257
383,256
618,257
391,257
1683,257
394,258
1777,259
1804,259
972,258
1148,258
620,263
934,258
334,261
811,261
1624,262
1728,263
898,261
377,263
933,262
939,261
53,263
1198,262
1733,263
1641,265
621,531
914,532
1589,531
406,532
884,531
363,531
376,260
420,261
1732,531
1740,530
1735,532
931,531
1755,265
1199,265
935,530
476,265
368,262
1207,531
1709,261
429,261
1068,260
940,261
1762,261
317,260
692,258
1193,259
546,259
302,2082
1116,2093
785,2115
68,260
1498,259
1354,2145
51,260
1737,259
396,260
1677,260
372,260
1008,2170
552,522
1930,522
1686,523
1722,259
40,260
356,264
962,261
1890,262
48,263
1190,259
1768,264
868,260
386,260
394,258
618,259
1184,263
1683,258
383,259
391,259
1288,259
934,258
972,259
1148,258
1804,259
1777,259
620,260
1846,2203
334,258
1728,258
1733,257
377,257
1624,260
933,259
939,259
1198,259
811,260
53,259
898,260
406,258
363,258
914,259
621,259
884,258
1589,258
1641,261
1740,269
420,271
476,268
429,268
1755,270
1207,268
1762,266
1732,269
1709,268
935,268
1068,268
931,270
1735,270
1199,270
376,271
940,265
368,269
317,259
692,261
775,2301
730,2336
1193,258
546,265
302,265
1116,264
785,264
68,263
1498,269
1354,267
372,270
391,260
962,263
1768,263
394,260
1008,265
1737,273
1184,260
1288,260
1890,264
386,263
552,265
383,260
1686,265
868,263
1190,264
1930,265
40,264
618,261
1683,261
1677,271
51,284
396,271
48,264
356,264
1722,265
1846,263
1804,268
620,267
1777,268
1148,268
934,268
972,268
811,263
621,259
933,264
939,263
914,259
1198,263
884,259
377,265
1624,264
406,259
334,267
1733,266
898,263
1728,266
53,263
1589,259
363,268
1641,267
420,268
1762,267
1199,266
429,268
368,266
1755,268
1735,266
1740,268
376,266
931,266
1207,268
940,267
476,268
1732,267
1709,267
935,267
1068,267
317,268
692,275
775,278
730,261
1193,272
546,265
1116,277
302,278
785,279
68,288
1498,273
1354,268
40,276
1722,275
1768,278
1184,277
386,278
1930,277
1288,277
1890,278
391,278
1683,276
552,278
51,277
868,278
1008,279
962,279
383,278
1677,277
1737,279
394,279
356,276
396,276
48,276
618,277
372,279
1686,278
1190,276
620,275
934,274
1777,275
1846,275
972,274
1804,275
1148,274
884,275
1728,274
933,275
939,275
914,275
811,276
898,277
1589,278
621,279
53,278
406,278
377,279
334,278
1733,277
1624,278
1198,279
363,273
1641,277
368,273
429,273
1207,272
376,273
931,273
1740,273
940,272
476,272
1755,273
420,274
1709,272
1199,273
935,272
1735,273
1762,274
1068,273
1732,273
317,274
692,260
775,272
730,267
1193,261
167,2857
546,259
302,265
1116,265
785,260
272,2943
68,258
915,2948
1498,263
1354,260
40,259
1288,259
51,257
1683,258
1890,258
1184,258
391,258
1930,259
386,259
1768,259
1722,261
394,259
552,260
356,262
372,261
1008,262
383,262
868,262
396,262
618,261
1677,262
1737,262
1190,262
934,254
1148,253
48,261
1804,253
972,254
962,262
1846,254
1686,262
620,254
1777,254
884,255
933,261
811,260
939,261
914,261
1728,263
334,263
621,263
1198,263
1624,262
898,263
53,263
377,263
363,261
1733,263
406,264
1589,266
1641,266
1732,260
368,262
931,261
1755,261
935,260
1199,261
940,262
1068,260
1735,260
1740,261
1709,261
476,262
1762,260
420,261
1207,264
376,264
429,264
317,255
692,264
775,250
730,260
1193,263
1188,3118
413,3116
747,3118
763,3117
1750,3115
488,3117
167,263
1742,3118
1719,3118
419,3118
1727,3119
1747,3123
1149,3131
1220,3123
546,262
390,3124
1712,3129
1773,3126
491,3128
974,3118
1177,3132
474,3129
1772,3127
612,3133
91,3132
611,3132
55,3134
1116,257
302,259
785,261
272,259
68,259
915,260
1498,264
1354,260
1312,3212
1157,3243
40,258
386,257
1683,258
1288,258
1184,258
1930,257
391,257
1890,258
51,260
1190,258
1768,262
618,260
48,259
356,260
934,258
396,260
372,259
868,260
972,258
1804,258
552,263
383,259
1686,258
962,258
620,257
1846,258
1677,258
1777,258
1737,259
1008,259
394,264
1148,260
1722,264
884,258
933,257
24,3244
1733,258
363,259
621,260
377,260
1198,260
898,260
406,259
939,267
53,261
811,267
334,261
1624,279
1589,276
914,284
1641,269
1728,283
931,269
1740,268
935,270
1199,268
1735,269
1068,269
1732,270
1709,269
368,269
940,269
1762,269
1207,267
476,269
429,267
1755,270
420,269
376,267
317,267
692,265
1426,3351
775,260
1597,3371
730,256
763,264
1193,265
413,265
1742,264
1719,263
1747,259
546,258
1727,265
1188,265
390,258
1220,258
488,265
1750,265
167,265
747,265
1149,258
419,263
491,272
1712,275
1116,257
1772,272
91,271
474,272
1960,3387
612,271
974,272
611,271
1177,272
55,258
1773,275
302,265
785,261
272,267
68,263
915,257
1498,261
1354,260
1312,263
1157,257
1683,259
391,258
1890,258
1930,258
40,259
1184,259
1288,259
386,259
356,264
51,268
1768,264
396,264
1008,262
1722,263
372,264
1777,263
48,264
972,264
1148,263
620,264
1846,264
1804,263
868,265
1737,264
1686,264
934,264
1190,265
394,263
1677,264
552,263
618,264
383,264
962,267
884,263
933,264
24,264
1733,259
363,258
1198,265
621,265
898,272
406,271
377,272
939,261
53,269
