threadId,duration,endTimeStamp,iteration
172,453,629,1
172,261,903,2
991,933,1124,1
738,953,1125,1
247,975,1125,1
731,954,1125,1
254,976,1127,1
249,980,1129,1
244,980,1129,1
245,980,1129,1
764,960,1133,1
248,984,1133,1
237,984,1134,1
85,987,1134,1
992,942,1134,1
233,986,1136,1
231,986,1136,1
58,993,1136,1
726,965,1136,1
157,990,1137,1
990,945,1137,1
252,987,1137,1
36,993,1137,1
716,968,1138,1
314,983,1138,1
47,992,1138,1
239,987,1138,1
993,949,1140,1
236,990,1140,1
250,990,1140,1
745,969,1140,1
712,971,1141,1
243,991,1141,1
718,971,1141,1
172,263,1166,3
226,1076,1225,1
259,1089,1239,1
227,1090,1240,1
223,1090,1240,1
230,1090,1240,1
165,1093,1240,1
781,1070,1244,1
225,1095,1244,1
222,1095,1245,1
261,1094,1245,1
998,1052,1245,1
988,1054,1246,1
264,1095,1246,1
779,1070,1246,1
37,1102,1246,1
22,1100,1247,1
256,1095,1247,1
996,1059,1250,1
775,1076,1250,1
707,1082,1251,1
221,1102,1251,1
52,1106,1251,1
144,1106,1251,1
687,1083,1252,1
105,1106,1252,1
788,1077,1252,1
46,1106,1253,1
688,1090,1257,1
97,1112,1257,1
224,1108,1257,1
265,1107,1257,1
316,1104,1258,1
255,1107,1258,1
971,1074,1263,1
741,1143,1314,1
245,262,1393,2
738,268,1393,2
254,266,1393,2
731,269,1394,2
249,264,1394,2
244,263,1394,2
247,268,1395,2
991,270,1395,2
231,269,1406,2
712,265,1406,2
47,268,1406,2
239,267,1406,2
233,269,1407,2
726,271,1407,2
992,273,1407,2
85,273,1408,2
250,268,1408,2
764,275,1408,2
58,270,1408,2
237,271,1408,2
716,268,1408,2
248,273,1409,2
236,266,1409,2
990,271,1409,2
36,271,1409,2
993,268,1409,2
157,271,1410,2
243,266,1410,2
718,266,1410,2
252,270,1411,2
314,269,1411,2
745,266,1412,2
172,261,1427,4
226,261,1487,2
259,259,1498,2
227,258,1499,2
222,259,1504,2
707,253,1504,2
230,264,1505,2
264,258,1505,2
165,263,1505,2
779,259,1506,2
22,259,1506,2
775,255,1506,2
988,259,1506,2
37,259,1507,2
261,260,1507,2
223,264,1507,2
256,258,1507,2
781,261,1508,2
996,258,1508,2
225,261,1508,2
998,260,1509,2
105,256,1509,2
221,257,1509,2
144,258,1511,2
788,258,1511,2
46,257,1511,2
224,253,1511,2
687,258,1512,2
52,260,1512,2
97,255,1512,2
688,255,1513,2
255,259,1517,2
316,259,1517,2
265,259,1517,2
971,257,1521,2
741,261,1575,2
249,273,1667,3
991,274,1669,3
245,276,1669,3
254,275,1670,3
244,275,1670,3
731,276,1670,3
738,276,1671,3
247,274,1671,3
992,269,1676,3
233,269,1677,3
236,267,1677,3
990,269,1678,3
47,272,1678,3
239,270,1679,3
36,267,1679,3
712,270,1679,3
231,270,1679,3
58,268,1679,3
85,270,1679,3
726,271,1680,3
716,269,1680,3
248,269,1680,3
237,270,1680,3
993,267,1680,3
250,268,1680,3
764,268,1680,3
172,268,1695,5
226,255,1742,3
259,257,1757,3
227,257,1757,3
230,258,1763,3
222,261,1765,3
264,260,1765,3
707,261,1765,3
165,260,1765,3
225,263,1771,3
256,264,1771,3
261,264,1771,3
779,265,1772,3
781,263,1772,3
223,264,1772,3
988,265,1772,3
775,265,1772,3
97,259,1773,3
224,261,1773,3
265,255,1773,3
316,256,1773,3
996,263,1774,3
22,268,1774,3
688,261,1774,3
46,263,1774,3
52,261,1775,3
144,262,1775,3
687,261,1775,3
255,256,1775,3
788,261,1775,3
37,265,1775,3
971,255,1776,3
741,259,1834,3
249,258,1925,4
731,265,1936,4
314,524,1936,3
718,525,1936,3
47,258,1936,4
243,526,1937,3
991,268,1937,4
990,259,1937,4
247,264,1937,4
239,258,1937,4
245,266,1938,4
244,266,1938,4
236,259,1938,4
254,266,1938,4
745,524,1939,3
36,257,1939,4
252,525,1939,3
233,259,1940,4
738,265,1940,4
992,260,1941,4
157,526,1942,3
58,259,1942,4
712,258,1942,4
85,264,1943,4
248,263,1943,4
726,263,1943,4
231,264,1944,4
716,263,1944,4
172,260,1955,6
226,261,2003,4
259,255,2013,4
230,256,2019,4
227,262,2019,4
165,258,2025,4
222,259,2025,4
707,259,2025,4
264,259,2025,4
223,260,2033,4
781,261,2033,4
775,261,2033,4
988,261,2033,4
316,258,2033,4
97,260,2034,4
256,262,2034,4
998,524,2034,3
996,258,2034,4
221,523,2034,3
779,261,2035,4
224,260,2035,4
105,523,2035,3
225,262,2035,4
265,260,2035,4
261,262,2036,4
255,263,2038,4
52,263,2039,4
688,264,2039,4
22,264,2039,4
46,264,2040,4
687,263,2040,4
788,264,2040,4
971,262,2040,4
144,263,2041,4
741,257,2091,4
25,1973,2119,1
126,1979,2125,1
406,1968,2126,1
1019,1978,2126,1
377,1970,2126,1
54,1987,2132,1
324,1978,2132,1
162,1998,2144,1
229,2025,2175,1
249,258,2183,5
314,258,2194,4
718,259,2195,4
991,258,2196,5
47,259,2196,5
990,261,2198,5
250,519,2199,4
236,261,2199,5
252,259,2199,4
244,260,2200,5
254,260,2200,5
36,261,2200,5
731,264,2201,5
233,258,2201,5
243,262,2201,4
245,261,2201,5
239,262,2202,5
247,262,2202,5
745,262,2202,4
993,520,2202,4
992,265,2207,5
