threadId,duration,endTimeStamp,iteration
464,487,656,1
464,278,941,2
422,1078,1245,1
789,1078,1246,1
710,1067,1246,1
493,1079,1247,1
779,1080,1247,1
740,1081,1248,1
706,1070,1248,1
483,1081,1249,1
351,1083,1249,1
446,1082,1250,1
496,1083,1250,1
760,1083,1250,1
385,1072,1250,1
489,1083,1251,1
733,1084,1251,1
390,1084,1251,1
795,1079,1251,1
350,1072,1252,1
179,1083,1252,1
495,1085,1252,1
514,1084,1252,1
765,1083,1253,1
203,1078,1253,1
774,1086,1253,1
359,1074,1254,1
461,1086,1254,1
692,1076,1254,1
713,1072,1254,1
373,1086,1254,1
243,1086,1255,1
469,1085,1255,1
876,1089,1255,1
454,1086,1255,1
480,1087,1255,1
445,1087,1256,1
487,1086,1256,1
593,1086,1256,1
761,1083,1256,1
785,1084,1256,1
369,1084,1256,1
810,1083,1257,1
236,1083,1257,1
512,1082,1257,1
173,1083,1257,1
762,1082,1257,1
399,1080,1257,1
768,1088,1257,1
464,314,1258,3
225,1087,1258,1
729,1076,1258,1
741,1088,1258,1
481,1088,1258,1
748,1087,1258,1
402,1088,1258,1
188,1084,1259,1
518,1084,1259,1
575,1088,1259,1
770,1087,1259,1
219,1089,1259,1
302,1086,1259,1
259,1086,1259,1
404,1087,1259,1
608,1086,1260,1
749,1082,1260,1
986,1093,1260,1
683,1086,1260,1
629,1082,1267,1
446,302,1552,2
179,300,1553,2
789,307,1553,2
795,303,1555,2
385,306,1556,2
351,307,1556,2
706,308,1556,2
483,307,1557,2
495,300,1557,2
876,302,1557,2
493,303,1557,2
422,312,1557,2
203,304,1557,2
710,307,1558,2
243,300,1558,2
774,302,1558,2
760,305,1558,2
359,302,1559,2
713,302,1559,2
740,309,1559,2
390,306,1559,2
514,303,1559,2
692,305,1560,2
765,304,1560,2
496,307,1560,2
461,304,1560,2
454,303,1561,2
373,303,1561,2
350,302,1561,2
629,291,1561,2
779,307,1561,2
733,304,1562,2
489,304,1562,2
608,554,1815,2
445,559,1815,2
785,559,1815,2
762,559,1816,2
770,557,1816,2
480,559,1816,2
683,556,1816,2
575,557,1817,2
404,556,1817,2
188,556,1817,2
768,557,1817,2
789,262,1817,3
810,558,1818,2
512,558,1818,2
593,559,1818,2
749,556,1818,2
464,557,1819,4
986,555,1819,2
487,560,1819,2
225,558,1819,2
173,559,1820,2
302,562,1822,2
243,264,1822,3
351,266,1823,3
761,567,1823,2
469,569,1824,2
399,567,1824,2
179,271,1824,3
446,269,1824,3
493,268,1825,3
481,567,1825,2
740,265,1825,3
259,566,1825,2
385,268,1825,3
483,268,1826,3
