threadId,duration
22,291
22,283
25,900
22,307
24,901
20,901
23,901
21,901
26,901
29,901
28,902
27,901
29,310
24,312
28,310
20,311
26,311
25,314
22,312
21,312
23,311
21,296
20,298
26,297
23,296
22,297
28,298
27,609
29,299
25,297
24,298
25,304
23,307
20,307
28,306
21,308
24,305
27,306
26,306
29,305
22,306
27,304
21,306
26,304
28,305
22,303
20,305
25,306
24,304
23,305
29,305
22,305
25,306
29,304
20,305
27,306
23,304
26,306
24,305
28,305
21,306
24,305
25,307
21,305
22,307
29,306
23,306
27,306
20,306
26,305
28,305
23,304
21,306
24,306
28,302
29,304
27,304
20,304
25,305
22,304
26,303
20,305
27,305
29,306
23,307
24,306
28,306
21,307
26,305
25,305
22,304
23,305
22,303
25,304
29,306
21,304
27,306
20,307
26,304
28,305
24,305
25,307
24,305
21,307
28,305
29,307
22,308
26,306
23,308
20,306
27,306
22,306
27,305
28,306
23,305
21,306
24,307
29,306
25,307
20,305
26,305
23,305
22,307
27,307
28,307
20,303
21,306
29,305
25,304
26,304
24,304
22,305
26,304
21,305
20,305
29,305
24,304
25,303
23,306
27,305
28,305
29,305
23,304
27,304
24,304
25,304
20,306
22,307
21,307
26,307
25,305
23,306
20,305
24,305
21,304
29,306
27,306
22,304
26,304
28,611
24,305
29,305
20,309
21,309
28,307
23,306
26,308
27,308
25,307
22,305
21,301
28,301
20,302
29,302
23,300
24,306
25,299
29,304
26,607
24,303
21,306
25,303
27,607
28,307
20,306
22,605
23,305
25,306
21,306
23,305
24,306
20,305
27,306
28,306
22,305
26,307
29,307
24,305
21,307
23,306
25,307
20,305
26,303
27,304
28,304
22,304
29,549
20,246
27,244
23,245
22,247
21,245
28,249
26,244
25,246
24,246
29,246
20,245
27,245
23,247
21,245
26,246
24,246
25,246
26,315
28,563
25,312
21,317
29,322
27,322
20,322
22,565
23,318
24,313
21,305
24,304
27,305
22,305
29,305
25,306
26,306
23,304
20,305
28,306
23,306
25,307
28,306
22,308
29,306
27,307
24,307
21,307
26,306
20,306
29,304
26,303
20,304
23,305
25,306
28,305
21,304
22,304
27,304
24,303
20,307
25,308
23,308
29,308
24,306
27,307
28,306
21,306
22,307
26,309
23,305
21,304
20,307
22,305
27,304
29,305
28,304
26,303
25,306
24,305
29,304
27,305
25,305
23,305
20,305
21,306
24,303
22,305
26,305
28,305
29,248
28,244
20,246
26,245
24,246
27,248
25,246
21,244
23,247
22,493
29,248
24,246
20,246
28,245
27,245
26,246
21,246
23,245
25,246
20,311
25,301
24,312
21,306
29,313
23,302
28,311
22,317
27,308
26,308
23,305
29,306
25,307
26,304
27,304
22,304
28,305
20,306
21,307
24,307
24,305
25,307
21,305
23,307
27,306
26,307
20,305
29,307
28,306
22,306
21,245
27,245
25,245
23,245
28,246
24,246
29,246
20,246
26,245
22,244
24,263
27,266
23,264
21,266
20,263
29,263
28,264
26,262
22,262
25,265
27,306
22,303
20,305
25,303
24,306
23,306
21,305
26,304
28,304
29,304
25,306
28,305
22,307
29,305
20,306
24,306
26,306
27,307
21,306
23,306
24,305
27,305
23,305
22,306
29,306
25,306
20,305
21,305
28,306
26,305
23,245
20,244
25,244
24,245
29,244
22,244
21,246
27,245
28,247
26,246
22,264
27,263
20,265
25,265
28,263
29,264
24,264
26,263
21,263
23,265
21,305
27,307
28,306
23,305
25,306
22,307
20,306
24,306
29,306
26,305
20,306
27,307
25,306
28,307
26,305
29,305
22,306
21,307
23,306
24,305
29,306
26,306
24,305
21,306
23,305
27,307
20,307
22,306
28,306
25,307
28,305
23,306
24,306
21,306
20,305
27,306
25,305
26,306
29,307
22,305
28,306
24,306
26,305
29,304
23,306
27,305
21,306
25,305
22,304
20,305
26,306
20,306
29,306
28,306
21,305
23,306
25,306
24,306
27,305
22,305
21,306
25,306
24,306
22,305
28,307
27,305
23,306
29,307
20,307
26,307
23,304
29,304
26,304
28,305
21,306
22,305
20,304
27,305
24,305
25,306
26,244
29,246
22,244
21,244
28,244
23,245
24,245
25,244
20,245
27,244
28,264
25,264
27,263
21,265
23,264
22,265
20,263
29,266
24,264
26,266
20,306
29,305
28,307
23,306
21,306
27,306
24,305
22,306
26,305
25,307
23,306
24,305
20,307
21,306
22,305
27,306
25,305
28,306
26,305
29,307
23,306
20,306
26,306
21,306
24,306
25,306
22,306
27,306
29,305
28,306
26,306
20,306
25,306
22,306
24,307
29,306
28,306
27,306
21,307
23,306
23,305
26,307
27,306
28,306
24,306
21,305
22,307
29,306
20,307
25,307
22,306
27,307
28,307
29,306
25,306
20,306
24,306
21,306
26,307
23,307
23,305
27,306
25,306
26,305
22,306
21,305
24,306
29,306
20,306
28,306
21,243
23,245
25,246
27,245
22,244
26,245
28,245
29,244
24,244
20,245
21,267
28,265
27,266
25,266
20,265
23,266
22,266
24,265
26,266
29,265
27,306
29,305
26,305
21,306
23,305
28,306
25,305
22,305
24,306
20,305
20,305
22,306
21,306
25,306
28,306
29,307
23,305
26,306
27,307
24,306
28,306
29,305
26,305
20,307
24,305
27,305
22,307
25,306
23,305
21,306
24,306
27,305
20,306
29,306
26,306
28,307
21,305
25,305
22,305
23,305
28,306
24,307
27,307
25,306
21,306
22,306
23,305
20,307
29,307
26,306
24,306
29,304
25,305
21,305
27,306
26,304
23,304
22,305
20,304
28,306
20,305
25,307
21,306
27,305
28,306
22,306
29,307
26,306
24,307
23,306
22,307
21,308
20,308
23,307
28,308
25,308
24,307
27,308
26,307
29,307
23,245
21,245
24,244
25,244
28,245
20,245
22,245
26,245
29,245
27,245
22,262
25,263
24,264
21,264
26,262
28,263
27,262
20,263
29,262
23,265
22,307
26,306
24,307
23,306
29,306
28,306
27,306
25,307
21,306
20,306
25,305
21,305
20,305
27,305
29,306
23,306
22,307
24,306
28,306
26,306
27,306
24,306
29,306
23,306
28,306
26,305
25,306
20,306
21,306
22,306
26,305
28,306
25,306
21,306
24,306
23,306
20,306
22,305
27,307
29,307
28,307
23,307
27,306
22,306
25,307
29,306
24,307
20,306
21,307
26,307
27,306
21,305
22,306
20,306
29,306
24,306
26,305
23,306
25,306
28,307
20,245
22,245
27,246
29,245
21,246
28,243
23,244
24,244
25,244
26,245
21,265
26,264
28,265
24,265
27,265
20,266
23,265
25,265
22,266
29,265
26,245
24,243
28,243
21,244
20,245
23,245
29,245
27,245
22,245
25,247
29,265
24,267
23,265
28,267
27,265
20,265
26,267
25,264
21,266
22,264
28,306
23,306
21,305
27,305
26,305
29,306
20,305
24,306
22,305
25,305
21,306
26,306
23,307
24,306
25,306
28,307
22,306
29,307
20,306
27,306
22,307
27,301
29,302
23,307
25,307
24,307
26,307
20,302
28,307
21,307
26,306
24,306
23,306
21,305
28,305
20,306
27,307
22,307
25,306
29,306
29,306
23,306
24,307
21,306
26,307
25,306
22,306
27,306
20,306
28,306
23,311
22,310
21,310
20,310
26,310
27,310
25,310
