threadId,duration,endTimeStamp,iteration
126,535,826,1
1660,676,1065,1
519,961,1251,1
199,984,1252,1
515,962,1253,1
493,964,1254,1
507,963,1255,1
369,983,1256,1
63,989,1256,1
401,983,1257,1
246,983,1258,1
273,984,1259,1
353,983,1259,1
374,979,1260,1
222,987,1260,1
95,988,1260,1
238,987,1261,1
242,986,1261,1
108,1003,1262,1
338,985,1262,1
194,989,1262,1
278,988,1263,1
76,1031,1285,1
277,1018,1286,1
284,1020,1288,1
169,1018,1290,1
71,1035,1291,1
45,1036,1292,1
269,1025,1296,1
416,1105,1381,1
112,1114,1383,1
357,1098,1383,1
244,1112,1384,1
1073,1040,1385,1
287,1118,1388,1
1284,1001,1388,1
363,1117,1389,1
202,1130,1389,1
1151,1033,1390,1
361,1119,1391,1
1523,1010,1392,1
736,1082,1392,1
154,1125,1393,1
1302,1011,1393,1
443,1116,1393,1
1300,1025,1395,1
993,1045,1395,1
341,1108,1395,1
327,1109,1396,1
399,1106,1396,1
304,1110,1397,1
129,1144,1398,1
116,1141,1406,1
409,1132,1407,1
1457,1000,1408,1
120,1115,1409,1
1011,1041,1418,1
318,1129,1419,1
362,1106,1420,1
403,1105,1421,1
204,1112,1422,1
190,1164,1422,1
339,1146,1423,1
68,1159,1423,1
1312,1001,1424,1
350,1101,1425,1
1273,1005,1425,1
348,1144,1426,1
1327,1002,1426,1
343,1143,1427,1
344,1143,1428,1
408,1139,1428,1
1709,756,1429,1
1352,1006,1429,1
839,1065,1429,1
355,1107,1430,1
1142,1052,1430,1
1030,1066,1431,1
67,1175,1432,1
943,1104,1433,1
51,1175,1434,1
84,1186,1444,1
1290,1009,1445,1
660,1142,1445,1
415,1102,1446,1
1379,995,1446,1
1051,1026,1447,1
314,1103,1448,1
160,1191,1449,1
53,1118,1449,1
1069,1031,1450,1
30,1192,1451,1
1340,1070,1452,1
252,1181,1452,1
178,1195,1453,1
1721,767,1455,1
918,1115,1456,1
1267,1072,1457,1
1592,982,1457,1
83,1201,1458,1
141,1204,1458,1
200,1200,1459,1
381,1165,1460,1
166,1204,1462,1
1723,786,1462,1
48,1199,1463,1
185,1204,1463,1
773,1158,1465,1
625,1170,1470,1
652,1169,1470,1
373,1095,1471,1
379,1095,1472,1
251,1116,1473,1
380,1104,1475,1
130,1120,1475,1
589,1179,1476,1
352,1105,1476,1
336,1106,1477,1
1649,988,1477,1
961,1046,1479,1
623,1180,1480,1
1062,1031,1480,1
676,1178,1481,1
334,1105,1481,1
613,1184,1483,1
711,1171,1484,1
644,1183,1484,1
1111,1024,1485,1
1363,995,1485,1
371,1102,1486,1
778,1179,1487,1
776,1180,1488,1
100,1118,1489,1
347,1102,1489,1
610,1181,1490,1
1660,305,1491,2
573,1078,1492,1
335,1102,1493,1
1604,986,1494,1
1053,1029,1495,1
325,1101,1496,1
1017,1030,1497,1
1767,821,1497,1
947,1169,1498,1
386,1098,1498,1
505,1210,1499,1
1036,1030,1499,1
435,1095,1500,1
171,1104,1500,1
280,1232,1501,1
289,1102,1501,1
392,1098,1502,1
697,1068,1502,1
845,1056,1503,1
144,1114,1505,1
729,1064,1511,1
704,1062,1513,1
1028,1169,1514,1
1086,1162,1515,1
369,261,1517,2
1050,1170,1518,1
218,1259,1518,1
1161,1161,1519,1
1068,1174,1519,1
1041,1171,1520,1
1350,1148,1521,1
1037,1180,1521,1
395,1245,1522,1
1547,1140,1522,1
1012,1186,1523,1
1003,1187,1523,1
1319,1153,1523,1
384,1245,1524,1
296,1255,1524,1
1466,1139,1524,1
1044,1024,1525,1
1178,1165,1525,1
964,1039,1526,1
354,1098,1526,1
1323,998,1526,1
419,1093,1527,1
1126,1173,1528,1
1121,1167,1528,1
158,1111,1529,1
1009,1031,1530,1
1024,1190,1530,1
312,1098,1530,1
1392,992,1531,1
1019,1193,1532,1
785,1060,1533,1
1409,989,1533,1
1388,1158,1534,1
1345,994,1534,1
911,1042,1535,1
1509,1155,1536,1
1057,1020,1536,1
1135,1008,1538,1
1311,1168,1539,1
411,1087,1542,1
198,1094,1542,1
393,1088,1543,1
622,1063,1544,1
402,1088,1545,1
880,1042,1546,1
987,1213,1547,1
310,1087,1547,1
57,1043,1548,1
563,1003,1548,1
146,1041,1549,1
1125,1194,1549,1
975,1218,1550,1
62,1027,1550,1
1346,1179,1551,1
406,1277,1552,1
1390,1175,1553,1
1322,1180,1554,1
995,1214,1554,1
979,1222,1555,1
1625,1162,1555,1
1453,1172,1556,1
431,1273,1557,1
1016,1211,1558,1
980,1216,1558,1
